Lap Nr,Point 1,X,Y
193,0,626.9998,477.96017
194,0,626.99835,477.95837
195,0,626.9986,477.958
196,0,626.9996,477.95776
197,0,626.99725,477.965
198,0,626.9959,477.96313
199,0,626.9959,477.96313
200,0,626.9928,477.97607
201,0,626.9929,477.97226
202,0,626.9924,477.9721
203,0,626.99243,477.97214
204,0,626.9565,477.96176
205,0,626.95654,477.9618
206,0,626.9566,477.9618
207,0,626.9566,477.9618
208,0,626.96796,477.99078
209,0,626.9701,477.99585
210,0,626.96906,477.99454
211,0,626.96906,477.99454
212,0,626.9842,478.0059
213,0,626.98566,478.00705
214,0,626.98566,478.0071
215,0,626.9741,478.0158
216,0,626.973,478.01245
217,0,626.973,478.01245
218,0,626.97314,478.01248
219,0,626.9926,478.00305
220,0,626.99286,478.00415
221,0,626.99274,478.0043
222,0,626.9927,478.0044
223,0,626.98584,478.00488
224,0,626.98553,478.0059
225,0,626.98505,478.00598
226,0,626.98505,478.00598
227,0,626.98987,477.98874
228,0,626.98846,477.97913
229,0,626.9884,477.97913
230,0,626.9819,477.98016
231,0,626.9811,477.97778
232,0,626.98065,477.97873
233,0,626.98065,477.97873
234,0,626.98737,478.00204
235,0,626.9862,478.00293
236,0,626.9862,478.0029
237,0,626.9862,478.0029
238,0,626.9892,478.01
239,0,626.9888,478.00958
240,0,626.9812,478.01453
241,0,626.9812,478.01453
242,0,626.9898,478.0293
243,0,626.9897,478.03302
244,0,626.9898,478.0334
245,0,626.9848,478.04492
246,0,626.9841,478.045
247,0,626.98425,478.04492
248,0,626.98425,478.04492
249,0,626.9898,478.03702
250,0,626.9907,478.03848
251,0,626.99084,478.0356
252,0,626.98413,478.03522
253,0,626.98676,478.0199
254,0,626.98865,478.01736
255,0,626.98865,478.01736
256,0,626.9858,477.99695
257,0,626.98645,477.99783
258,0,626.98737,477.99802
259,0,626.98737,477.99802
260,0,626.99725,477.97824
261,0,626.997,477.97897
262,0,626.997,477.97897
263,0,626.997,477.9791
264,0,627.0204,477.9647
265,0,627.0204,477.9647
266,0,627.0204,477.96472
267,0,627.0204,477.96472
268,0,627.02057,477.9647
269,0,627.01953,477.96387
270,0,627.0198,477.9632
271,0,627.0201,477.96964
272,0,627.0185,477.9705
273,0,627.0185,477.97052
274,0,627.0185,477.97055
275,0,627.02057,477.9225
276,0,627.02905,477.92035
277,0,627.0291,477.9203
278,0,627.0291,477.9203
279,0,627.02295,477.86777
280,0,627.0234,477.86807
281,0,627.0229,477.86835
282,0,627.0,477.8627
283,0,627.00214,477.86035
284,0,627.00214,477.86032
285,0,627.00214,477.85995
286,0,627.032,477.8442
287,0,627.0329,477.84665
288,0,627.0359,477.84818
289,0,627.0359,477.84818
290,0,627.04126,477.82648
291,0,627.04236,477.82144
292,0,627.0424,477.82117
293,0,627.05347,477.8296
294,0,627.0536,477.82883
295,0,627.0535,477.8292
296,0,627.0535,477.82916
297,0,627.06555,477.8387
298,0,627.0652,477.84085
299,0,627.0629,477.8403
300,0,627.06976,477.83093
301,0,627.08673,477.83932
302,0,627.08636,477.83765
303,0,627.0883,477.8433
304,0,627.1006,477.8539
305,0,627.0965,477.85468
306,0,627.09656,477.85458
307,0,627.09656,477.85458
308,0,627.1178,477.83997
309,0,627.11835,477.83594
310,0,627.11945,477.8348
311,0,627.11945,477.8348
312,0,627.10443,477.87033
313,0,627.10443,477.87033
314,0,627.10443,477.87033
315,0,627.10443,477.87033
316,0,628.02954,478.1993
317,0,628.02954,478.19952
318,0,628.02954,478.19952
319,0,629.2873,478.48526
320,0,629.28644,478.4863
321,0,629.28644,478.48676
322,0,629.28656,478.4867
323,0,629.74567,478.60483
324,0,629.72943,478.6146
