Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h
239,,0,0,408,294,,0,0,408,294,,0,0,408,294
240,,0,0,408,294,,0,0,408,294,,0,0,408,294
241,,0,0,408,294,,0,0,408,294,,0,0,408,294
242,,0,0,408,294,,0,0,408,294,,0,0,408,294
243,,0,0,408,294,,0,0,408,294,,0,0,408,294
244,,0,0,408,294,,0,0,408,294,,0,0,408,294
245,,0,0,408,294,,0,0,408,294,,0,0,408,294
246,,0,0,408,294,,0,0,408,294,,0,0,408,294
247,,0,0,408,294,,0,0,408,294,,0,0,408,294
248,,0,0,408,294,,0,0,408,294,,0,0,408,294
249,,0,0,408,294,,0,0,408,294,,0,0,408,294
250,,0,0,408,294,,0,0,408,294,,0,0,408,294
251,,0,0,408,294,,0,0,408,294,,0,0,408,294
252,,0,0,408,294,,0,0,408,294,,0,0,408,294
253,,0,0,408,294,,0,0,408,294,,0,0,408,294
254,,0,0,408,294,,0,0,408,294,,0,0,408,294
255,,0,0,408,294,,0,0,408,294,,0,0,408,294
256,,0,0,408,294,,0,0,408,294,,0,0,408,294
257,,0,0,408,294,,0,0,408,294,,0,0,408,294
258,,0,0,408,294,,0,0,408,294,,0,0,408,294
259,,0,0,408,294,,0,0,408,294,,0,0,408,294
260,,0,0,408,294,,0,0,408,294,,0,0,408,294
261,,0,0,408,294,,0,0,408,294,,0,0,408,294
262,,0,0,408,294,,0,0,408,294,,0,0,408,294
263,,0,0,408,294,,0,0,408,294,,0,0,408,294
264,,0,0,408,294,,0,0,408,294,,0,0,408,294
265,,0,0,408,294,,0,0,408,294,,0,0,408,294
266,,0,0,408,294,,0,0,408,294,,0,0,408,294
267,,0,0,408,294,,0,0,408,294,,0,0,408,294
268,,0,0,408,294,,0,0,408,294,,0,0,408,294
269,,0,0,408,294,,0,0,408,294,,0,0,408,294
270,,0,0,408,294,,0,0,408,294,,0,0,408,294
271,,0,0,408,294,,0,0,408,294,,0,0,408,294
272,,0,0,408,294,,0,0,408,294,,0,0,408,294
273,,0,0,408,294,,0,0,408,294,,0,0,408,294
274,,0,0,408,294,,0,0,408,294,,0,0,408,294
275,,0,0,408,294,,0,0,408,294,,0,0,408,294
276,,0,0,408,294,,0,0,408,294,,0,0,408,294
277,,0,0,408,294,,0,0,408,294,,0,0,408,294
278,,0,0,408,294,,0,0,408,294,,0,0,408,294
279,,0,0,408,294,,0,0,408,294,,0,0,408,294
280,,0,0,408,294,,0,0,408,294,,0,0,408,294
281,,0,0,408,294,,0,0,408,294,,0,0,408,294
282,,0,0,408,294,,0,0,408,294,,0,0,408,294
283,,0,0,408,294,,0,0,408,294,,0,0,408,294
284,,0,0,408,294,,0,0,408,294,,0,0,408,294
285,,0,0,408,294,,0,0,408,294,,0,0,408,294
286,,0,0,408,294,,0,0,408,294,,0,0,408,294
287,,0,0,408,294,,0,0,408,294,,0,0,408,294
288,,0,0,408,294,,0,0,408,294,,0,0,408,294
289,,0,0,408,294,,0,0,408,294,,0,0,408,294
290,,0,0,408,294,,0,0,408,294,,0,0,408,294
291,,0,0,408,294,,0,0,408,294,,0,0,408,294
292,,0,0,408,294,,0,0,408,294,,0,0,408,294
293,,0,0,408,294,,0,0,408,294,,0,0,408,294
294,,0,0,408,294,,0,0,408,294,,0,0,408,294
295,,0,0,408,294,,0,0,408,294,,0,0,408,294
296,,0,0,408,294,,0,0,408,294,,0,0,408,294
297,,0,0,408,294,,0,0,408,294,,0,0,408,294
298,,0,0,408,294,,0,0,408,294,,0,0,408,294
299,,0,0,408,294,,0,0,408,294,,0,0,408,294
300,,0,0,408,294,,0,0,408,294,,0,0,408,294
301,,0,0,408,294,,0,0,408,294,,0,0,408,294
302,,0,0,408,294,,0,0,408,294,,0,0,408,294
303,,0,0,408,294,,0,0,408,294,,0,0,408,294
304,,0,0,408,294,,0,0,408,294,,0,0,408,294
305,,0,0,408,294,,0,0,408,294,,0,0,408,294
306,,0,0,408,294,,0,0,408,294,,0,0,408,294
307,,0,0,408,294,,0,0,408,294,,0,0,408,294
308,,0,0,408,294,,0,0,408,294,,0,0,408,294
309,,0,0,408,294,,0,0,408,294,,0,0,408,294
310,,0,0,408,294,,0,0,408,294,,0,0,408,294
311,,0,0,408,294,,0,0,408,294,,0,0,408,294
312,,0,0,408,294,,0,0,408,294,,0,0,408,294
313,,0,0,408,294,,0,0,408,294,,0,0,408,294
314,,0,0,408,294,,0,0,408,294,,0,0,408,294
315,,0,0,408,294,,0,0,408,294,,0,0,408,294
316,,0,0,408,294,,0,0,408,294,,0,0,408,294
