Object nr 1,Lap Nr:,Nr. of Corners,Corner 1,x,y
,1100,20,C 1,68,24,C 2,113,23,C 3,347,13,C 4,169,21,C 5,302,15,C 6,58,25,C 7,133,22,C 8,380,12,C 9,102,19,C 10,319,24,C 11,388,2,C 12,90,35,C 13,312,15,C 14,13,15,C 15,156,16,C 16,279,24,C 17,28,25,C 18,63,35,C 19,5,37,C 20,182,32
,1200,20,C 1,68,24,C 2,38,25,C 3,348,13,C 4,170,21,C 5,323,14,C 6,113,23,C 7,132,22,C 8,278,26,C 9,194,30,C 10,319,24,C 11,240,18,C 12,182,31,C 13,254,17,C 14,246,27,C 15,287,16,C 16,39,15,C 17,210,28,C 18,101,13,C 19,133,33,C 20,51,5
,1300,20,C 1,74,24,C 2,116,23,C 3,171,21,C 4,37,25,C 5,4,25,C 6,281,16,C 7,58,25,C 8,347,13,C 9,308,15,C 10,322,24,C 11,150,22,C 12,257,25,C 13,239,18,C 14,265,17,C 15,393,21,C 16,76,34,C 17,407,11,C 18,21,35,C 19,209,29,C 20,295,15
,1400,20,C 1,74,24,C 2,171,21,C 3,322,14,C 4,280,16,C 5,390,21,C 6,382,12,C 7,345,13,C 8,407,11,C 9,309,15,C 10,13,30,C 11,46,25,C 12,63,35,C 13,229,18,C 14,147,32,C 15,290,15,C 16,103,33,C 17,115,23,C 18,355,3,C 19,277,26,C 20,77,39
,1500,20,C 1,68,24,C 2,171,21,C 3,265,17,C 4,347,13,C 5,318,14,C 6,294,15,C 7,34,25,C 8,88,24,C 9,326,21,C 10,129,22,C 11,226,19,C 12,188,20,C 13,142,31,C 14,113,23,C 15,383,22,C 16,404,21,C 17,107,13,C 18,3,25,C 19,223,8,C 20,359,23
,1600,20,C 1,280,16,C 2,169,21,C 3,70,24,C 4,267,24,C 5,407,11,C 6,402,21,C 7,149,30,C 8,352,13,C 9,358,23,C 10,368,2,C 11,324,24,C 12,342,23,C 13,207,29,C 14,21,25,C 15,383,22,C 16,55,25,C 17,368,13,C 18,310,15,C 19,291,16,C 20,304,6
,1700,20,C 1,69,24,C 2,238,18,C 3,280,16,C 4,333,14,C 5,171,21,C 6,309,15,C 7,109,23,C 8,35,25,C 9,130,22,C 10,363,13,C 11,350,13,C 12,5,35,C 13,356,3,C 14,89,24,C 15,317,24,C 16,220,10,C 17,404,11,C 18,290,15,C 19,380,20,C 20,210,19
,1800,20,C 1,68,24,C 2,113,23,C 3,171,21,C 4,239,18,C 5,302,15,C 6,33,25,C 7,61,32,C 8,407,11,C 9,376,12,C 10,347,13,C 11,286,26,C 12,390,21,C 13,353,23,C 14,158,30,C 15,86,19,C 16,236,8,C 17,90,32,C 18,374,2,C 19,146,22,C 20,252,25
,1900,20,C 1,309,15,C 2,170,21,C 3,68,24,C 4,286,16,C 5,238,18,C 6,348,13,C 7,324,14,C 8,6,16,C 9,406,11,C 10,38,25,C 11,395,2,C 12,358,23,C 13,362,4,C 14,129,23,C 15,394,12,C 16,314,25,C 17,376,12,C 18,13,25,C 19,190,30,C 20,156,11
,2000,20,C 1,74,24,C 2,326,14,C 3,317,25,C 4,345,13,C 5,344,24,C 6,61,24,C 7,359,13,C 8,238,18,C 9,38,25,C 10,371,3,C 11,170,21,C 12,116,23,C 13,266,17,C 14,41,13,C 15,247,4,C 16,129,23,C 17,279,26,C 18,61,35,C 19,13,35,C 20,231,45
,2100,20,C 1,170,21,C 2,68,24,C 3,346,13,C 4,372,22,C 5,128,23,C 6,381,12,C 7,327,14,C 8,406,1,C 9,286,16,C 10,287,26,C 11,33,25,C 12,239,18,C 13,112,23,C 14,203,28,C 15,152,17,C 16,72,34,C 17,320,25,C 18,14,35,C 19,150,29,C 20,245,4
,2200,20,C 1,69,24,C 2,170,21,C 3,265,17,C 4,327,14,C 5,114,23,C 6,391,22,C 7,266,27,C 8,353,13,C 9,408,7,C 10,58,25,C 11,330,4,C 12,137,26,C 13,19,25,C 14,309,15,C 15,12,35,C 16,151,14,C 17,78,16,C 18,348,3,C 19,361,22,C 20,98,31
,2300,20,C 1,69,24,C 2,309,15,C 3,114,23,C 4,13,25,C 5,286,16,C 6,133,22,C 7,170,21,C 8,406,11,C 9,31,25,C 10,62,34,C 11,382,17,C 12,346,13,C 13,366,13,C 14,204,9,C 15,147,14,C 16,208,24,C 17,232,19,C 18,397,22,C 19,231,8,C 20,57,25
,2400,20,C 1,170,21,C 2,68,24,C 3,346,13,C 4,239,18,C 5,107,23,C 6,372,3,C 7,333,14,C 8,128,23,C 9,263,17,C 10,359,3,C 11,73,34,C 12,230,28,C 13,12,7,C 14,100,13,C 15,297,15,C 16,186,24,C 17,378,12,C 18,276,26,C 19,319,24,C 20,284,6
,2500,20,C 1,68,24,C 2,310,15,C 3,327,14,C 4,278,16,C 5,145,22,C 6,323,25,C 7,233,18,C 8,174,21,C 9,33,25,C 10,13,25,C 11,340,16,C 12,78,24,C 13,127,23,C 14,251,27,C 15,160,12,C 16,294,16,C 17,224,23,C 18,267,17,C 19,395,22,C 20,393,12
,2600,20,C 1,68,24,C 2,171,21,C 3,347,13,C 4,117,23,C 5,238,18,C 6,382,12,C 7,9,28,C 8,164,10,C 9,319,14,C 10,213,28,C 11,32,34,C 12,393,22,C 13,369,3,C 14,230,29,C 15,357,15,C 16,304,5,C 17,405,21,C 18,135,12,C 19,268,17,C 20,58,25
,2700,20,C 1,69,24,C 2,286,16,C 3,347,13,C 4,171,21,C 5,131,22,C 6,140,32,C 7,390,22,C 8,212,19,C 9,151,17,C 10,324,14,C 11,215,29,C 12,242,22,C 13,103,23,C 14,269,26,C 15,320,25,C 16,68,14,C 17,182,31,C 18,337,14,C 19,80,12,C 20,150,29
,2800,20,C 1,67,24,C 2,349,13,C 3,380,12,C 4,239,18,C 5,106,15,C 6,169,21,C 7,193,30,C 8,113,23,C 9,128,23,C 10,303,15,C 11,324,24,C 12,399,22,C 13,408,11,C 14,342,23,C 15,292,16,C 16,156,31,C 17,22,25,C 18,81,24,C 19,312,5,C 20,6,15
,2900,20,C 1,177,21,C 2,326,14,C 3,114,23,C 4,266,17,C 5,294,15,C 6,351,13,C 7,254,17,C 8,56,25,C 9,3,25,C 10,380,12,C 11,71,22,C 12,32,25,C 13,392,21,C 14,283,7,C 15,130,22,C 16,317,24,C 17,147,31,C 18,237,17,C 19,17,31,C 20,198,29
,3000,20,C 1,68,24,C 2,347,13,C 3,240,18,C 4,324,14,C 5,88,24,C 6,372,4,C 7,280,16,C 8,208,29,C 9,336,5,C 10,114,24,C 11,153,17,C 12,379,12,C 13,134,30,C 14,173,31,C 15,194,30,C 16,265,17,C 17,288,8,C 18,14,25,C 19,325,4,C 20,199,20
,3100,20,C 1,70,24,C 2,269,17,C 3,170,21,C 4,407,11,C 5,187,21,C 6,394,12,C 7,88,13,C 8,6,25,C 9,374,22,C 10,346,13,C 11,244,22,C 12,295,15,C 13,86,30,C 14,72,35,C 15,12,40,C 16,172,10,C 17,294,26,C 18,212,19,C 19,328,11,C 20,324,23
