timestamp,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5
4997.785000,-0.022503,-0.082024,-0.034360,-0.008551,0.005110,0.005991
4997.787000,0.255239,-0.313407,0.138628,-0.000770,0.005232,0.001731
4997.789000,0.024429,-0.211844,-0.041515,-0.004488,0.005680,0.005362
4997.791000,-0.135995,0.048475,-0.032951,-0.010571,0.001409,0.007991
4997.793000,-0.070530,-0.027958,0.010303,-0.010644,0.002107,0.005293
4997.795000,0.089880,-0.058674,-0.136668,-0.008740,0.003685,0.003981
4997.797000,0.013213,-0.126645,0.037893,-0.008668,0.003910,0.001260
4997.799000,0.356230,-0.125037,-0.190917,-0.008419,0.012450,-0.005846
4997.801000,-0.149819,-0.237122,-0.013918,-0.002631,0.000437,0.006060
4997.803000,0.011814,-0.002242,-0.120793,-0.009266,0.005177,0.003661
4997.805000,-0.158585,-0.185510,0.065013,-0.004434,0.002414,0.008995
4997.807000,-0.036769,0.048604,0.035046,-0.011461,0.001713,0.005582
4997.809000,-0.012451,-0.076463,0.080746,-0.003919,0.004070,0.006395
4997.811000,0.019401,0.026409,-0.060128,-0.009919,0.004934,0.003133
4997.813000,-0.043296,-0.100339,0.039792,-0.006037,0.001810,0.002177
4997.815000,-0.214815,-0.202119,0.069273,-0.003900,0.000815,0.012123
4997.817000,0.038690,-0.049502,-0.110850,-0.008810,0.003342,0.000824
4997.819000,-0.139502,-0.184690,0.069217,-0.002143,-0.000433,0.009911
4997.823000,0.056222,-0.087397,0.052925,-0.009004,0.002694,0.002966
4997.825000,0.060434,-0.245795,-0.098742,-0.006883,0.003755,0.001254
4997.827000,0.268771,-0.115317,0.086278,-0.004493,0.006287,0.004180
4997.829000,0.027085,0.000516,-0.145781,-0.012523,0.008388,0.005556
4997.831000,-0.194165,0.002336,0.065986,-0.007754,0.000904,0.009596
4997.833000,0.261993,-0.088688,-0.182726,-0.010279,0.008985,0.002595
4997.835000,-0.544358,-0.124762,0.175686,-0.003664,-0.004652,0.015668
4997.837000,-0.082543,0.036507,0.081423,-0.008937,-0.001379,0.004675
4997.839000,-0.156528,0.013687,0.051559,-0.009881,0.001046,0.011319
4997.841000,-0.087103,-0.055967,-0.020670,-0.008950,0.000082,0.006760
4997.843000,-0.112964,-0.130174,-0.008587,-0.007281,0.003372,0.009201
4997.845000,-0.539712,-0.052150,0.175357,-0.004132,-0.006046,0.011439
4997.847000,-0.139020,0.013128,0.035985,-0.009942,-0.003923,0.004716
4997.849000,-0.297016,-0.093144,0.032674,-0.005162,-0.000688,0.011793
4997.851000,0.419895,-0.207693,-0.121876,-0.004539,0.010751,-0.002680
4997.853000,0.051208,0.024647,-0.108345,-0.012522,0.004600,0.000881
4997.855000,-0.154177,0.003577,0.178513,-0.005163,0.000975,0.010528
4997.857000,0.314864,0.091916,-0.081460,-0.013294,0.010544,0.005337
4997.859000,0.106076,-0.072727,-0.171052,-0.007740,0.009030,0.001171
4997.861000,0.027786,-0.197376,-0.002251,-0.004088,0.003244,0.003686
4997.863000,-0.067960,-0.022740,0.075320,-0.005220,-0.000597,0.010724
4997.865000,0.042117,-0.161729,0.062667,-0.006297,0.003520,0.003093
4997.867000,0.187524,-0.207571,0.144509,-0.004608,0.003017,0.002281
4997.869000,-0.011054,-0.036057,0.051496,-0.010750,0.001848,0.005508
4997.871000,-0.323520,-0.078847,0.160408,-0.003608,-0.000378,0.015979
4997.873000,0.120091,0.043674,-0.086245,-0.013143,0.005520,0.001271
4997.875000,-0.328825,0.029563,0.116473,-0.006842,-0.002384,0.016732
4997.877000,-0.048324,0.051785,0.027793,-0.011581,0.002512,0.005565
4997.879000,-0.022770,0.077694,0.018047,-0.012868,0.002567,0.007354
4997.881000,-0.135886,0.242834,0.044378,-0.013437,0.000243,0.013303
4997.883000,0.014590,-0.021453,-0.006835,-0.008895,0.002300,0.005290
4997.885000,0.239358,0.026384,-0.073090,-0.009781,0.007214,0.000440
4997.887000,0.017111,0.013360,0.028278,-0.009016,0.005257,0.005507
4997.889000,-0.455564,-0.012923,0.146783,-0.006136,-0.002929,0.011118
4997.891000,-0.125688,0.036461,0.084880,-0.008692,-0.000993,0.006464
4997.893000,0.013102,0.160389,-0.072271,-0.010939,0.006221,0.004734
4997.895000,-0.170697,0.012994,-0.021767,-0.006234,0.000920,0.009862
4997.897000,-0.414829,-0.098837,0.174628,-0.001341,-0.001772,0.016407
4997.899000,0.066793,-0.025473,-0.012603,-0.009214,0.003565,0.006353
4997.903000,-0.232320,-0.051118,-0.035092,-0.010537,-0.001872,0.005326
4997.905000,-0.027448,-0.124684,-0.036586,-0.005345,0.004430,0.006361
4997.907000,0.014915,-0.031205,0.038760,-0.008433,0.005582,0.005938
4997.909000,0.075282,-0.062454,-0.081071,-0.007498,0.003879,0.004656
4997.911000,-0.245830,-0.082911,0.112682,-0.005482,-0.003969,0.009550
4997.913000,0.041521,-0.110112,-0.004367,-0.004567,0.005499,0.002736
4997.915000,-0.309546,-0.155821,0.166306,-0.002438,-0.000092,0.010426
4997.917000,-0.262055,0.024869,-0.000886,-0.006083,0.000992,0.009736
4997.919000,-0.030773,0.123835,-0.095189,-0.009228,0.003781,0.005767
4997.921000,-0.146555,-0.039857,-0.052529,-0.008523,0.002337,0.008811
4997.923000,-0.238419,-0.067120,0.044303,-0.008588,-0.002702,0.008545
4997.925000,0.153345,-0.205786,0.027196,-0.004981,0.006233,0.005604
4997.927000,0.014164,0.061637,-0.155504,-0.011532,0.002899,0.003194
4997.929000,0.170946,-0.113552,-0.084591,-0.008649,0.007485,-0.000241
4997.931000,0.070843,-0.213042,0.003132,-0.003940,0.005376,0.005355
4997.933000,0.059898,-0.164816,-0.042691,-0.005688,0.008880,0.009895
