timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
15328.743000,-0.330776,-0.509648,-0.064450,-0.816571,-3.008537,-0.006728
15328.745000,-0.330769,-0.509656,-0.064457,-0.816498,-3.008553,-0.006757
15328.747000,-0.330735,-0.509624,-0.064479,-0.816523,-3.008591,-0.006873
15328.749000,-0.330783,-0.509649,-0.064440,-0.816548,-3.008527,-0.006724
15328.751000,-0.330758,-0.509672,-0.064440,-0.816439,-3.008573,-0.006729
15328.753000,-0.330772,-0.509656,-0.064441,-0.816507,-3.008521,-0.006714
15328.755000,-0.330770,-0.509652,-0.064450,-0.816499,-3.008557,-0.006729
15328.757000,-0.330809,-0.509629,-0.064446,-0.816603,-3.008506,-0.006747
15328.759000,-0.330776,-0.509669,-0.064434,-0.816571,-3.008541,-0.006659
15328.761000,-0.330771,-0.509660,-0.064434,-0.816490,-3.008531,-0.006689
15328.763000,-0.330745,-0.509664,-0.064463,-0.816439,-3.008570,-0.006755
15328.767000,-0.330771,-0.509649,-0.064441,-0.816496,-3.008554,-0.006755
15328.767000,-0.330772,-0.509649,-0.064450,-0.816533,-3.008537,-0.006737
15328.771000,-0.330768,-0.509656,-0.064442,-0.816512,-3.008537,-0.006721
15328.773000,-0.330787,-0.509654,-0.064459,-0.816551,-3.008533,-0.006741
15328.775000,-0.330753,-0.509646,-0.064450,-0.816475,-3.008556,-0.006785
15328.777000,-0.330788,-0.509652,-0.064449,-0.816544,-3.008510,-0.006712
15328.779000,-0.330753,-0.509650,-0.064456,-0.816523,-3.008575,-0.006756
15328.781000,-0.330775,-0.509677,-0.064426,-0.816498,-3.008549,-0.006628
15328.783000,-0.330754,-0.509652,-0.064448,-0.816460,-3.008562,-0.006755
15328.785000,-0.330758,-0.509646,-0.064460,-0.816516,-3.008561,-0.006790
15328.787000,-0.330761,-0.509643,-0.064454,-0.816535,-3.008544,-0.006799
15328.789000,-0.330754,-0.509662,-0.064437,-0.816464,-3.008577,-0.006717
15328.791000,-0.330767,-0.509654,-0.064433,-0.816474,-3.008540,-0.006706
15328.793000,-0.330767,-0.509675,-0.064438,-0.816498,-3.008557,-0.006688
15328.795000,-0.330763,-0.509676,-0.064438,-0.816475,-3.008551,-0.006698
15328.797000,-0.330777,-0.509643,-0.064443,-0.816559,-3.008564,-0.006753
15328.799000,-0.330789,-0.509662,-0.064417,-0.816480,-3.008493,-0.006704
15328.801000,-0.330753,-0.509657,-0.064452,-0.816499,-3.008565,-0.006746
15328.803000,-0.330788,-0.509655,-0.064441,-0.816583,-3.008510,-0.006705
15328.805000,-0.330752,-0.509661,-0.064444,-0.816400,-3.008574,-0.006741
15328.807000,-0.330770,-0.509648,-0.064455,-0.816535,-3.008550,-0.006770
