Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_center_x,Roi1_center_y
171,,606,307,621.5,319.0
172,,533,317,548.0,330.0
173,,459,319,474.0,332.0
174,,399,317,416.0,330.0
175,,329,307,345.0,321.0
176,,265,289,281.0,304.0
177,,211,265,227.0,281.0
178,,179,239,194.0,256.0
179,,147,205,163.0,224.0
180,,143,175,155.0,193.0
181,,145,143,157.0,162.0
182,,159,119,170.0,133.0
183,,179,97,191.0,109.0
184,,213,73,224.0,83.0
185,,251,49,262.0,59.0
186,,299,31,307.0,41.0
187,,351,25,358.0,30.0
188,,393,13,399.5,19.0
189,,447,3,454.0,11.0
190,,501,0,508.0,8.5
191,,555,3,563.0,11.0
192,,597,5,606.5,14.0
193,,651,15,659.0,24.0
194,,695,29,706.0,39.0
195,,737,47,748.0,57.0
196,,775,67,786.0,78.0
197,,799,87,810.0,99.0
198,,823,113,834.0,128.0
199,,831,141,842.0,156.0
200,,828,175,839.5,189.0
201,,807,205,821.0,221.0
202,,781,231,797.0,247.0
203,,733,265,750.0,280.0
204,,669,294,686.0,305.5
205,,591,309,607.0,322.0
206,,519,321,535.0,333.0
207,,423,321,440.0,333.0
208,,333,309,350.0,322.0
209,,255,287,273.0,302.0
210,,195,257,211.0,273.0
211,,165,227,180.0,244.0
212,,143,185,155.0,203.0
213,,143,149,154.0,167.0
214,,157,121,169.0,135.0
215,,189,89,200.0,101.0
216,,221,65,231.0,76.0
217,,267,43,277.0,52.0
218,,323,31,331.0,36.0
219,,387,15,393.0,20.0
220,,435,5,443.0,12.0
221,,499,1,507.0,9.0
222,,563,3,570.0,11.0
223,,623,11,631.0,19.0
224,,675,23,687.0,32.0
225,,719,37,730.0,47.0
226,,763,63,775.0,72.0
227,,799,87,811.0,100.0
228,,825,117,836.0,132.0
229,,831,151,842.0,167.0
230,,823,181,836.0,197.0
231,,795,217,809.5,234.0
232,,749,259,764.0,272.0
233,,675,293,693.0,304.0
234,,605,313,621.0,323.0
235,,505,325,521.0,335.0
236,,395,321,413.0,332.0
237,,297,304,315.0,317.5
238,,221,273,237.0,287.0
239,,177,241,192.0,258.0
240,,143,193,157.0,213.0
241,,143,155,154.0,172.0
242,,159,119,170.0,133.0
243,,195,85,206.5,96.5
244,,231,59,242.0,69.0
245,,289,35,298.0,43.0
246,,359,23,365.0,27.0
