Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h
944,,0,17,418,23
945,,0,16,418,24
946,,0,17,418,23
947,,0,17,418,23
948,,0,17,418,23
949,,0,17,418,23
950,,0,17,418,23
951,,0,16,418,24
952,,0,16,418,24
953,,0,16,418,24
1011,,0,16,418,25
1012,,0,17,418,23
1013,,0,17,418,23
1014,,0,17,418,23
1015,,0,17,418,23
1016,,0,17,418,23
1017,,0,17,418,24
1018,,0,16,418,24
1019,,0,17,418,23
1020,,0,16,418,24
1021,,0,16,418,24
1022,,0,16,418,24
1023,,0,16,418,24
1024,,0,16,418,24
1025,,0,16,418,24
1026,,0,17,418,23
1027,,0,16,418,24
1028,,0,16,418,24
1029,,0,16,418,24
1030,,0,16,418,24
1031,,0,16,418,24
1032,,0,16,418,25
1033,,0,16,418,25
1034,,0,16,418,24
1035,,0,17,418,23
1036,,0,16,418,24
1037,,0,16,418,24
1038,,0,16,418,24
1039,,0,16,418,24
1040,,0,16,418,25
1041,,0,16,418,24
1042,,0,16,418,24
1043,,0,17,418,23
1044,,0,17,418,23
1045,,0,17,418,23
1046,,0,16,418,24
1047,,0,17,418,23
1048,,0,16,418,24
1049,,0,17,418,23
1050,,0,17,418,23
1051,,0,17,418,23
1052,,0,16,418,24
1053,,0,16,418,24
1054,,0,16,418,24
1055,,0,16,418,24
1056,,0,16,418,24
1057,,0,16,418,24
1058,,0,16,418,24
1059,,0,16,418,24
1060,,0,16,418,24
1061,,0,16,418,24
1062,,0,17,418,23
1063,,0,17,418,23
1064,,0,0,418,40
1065,,0,0,418,40
1066,,0,0,418,40
1067,,37,0,351,41
1068,,0,0,418,45
1069,,37,0,381,49
1070,,37,0,381,53
1071,,39,0,348,57
1072,,178,0,207,57
1073,,282,0,101,59
1074,,180,18,101,44
1075,,181,21,101,44
1076,,181,25,100,44
1077,,284,25,134,43
1078,,284,25,134,44
1079,,181,29,100,40
1080,,285,26,133,43
1081,,285,26,133,43
1082,,285,26,133,43
1083,,285,26,133,43
1084,,285,26,133,43
1085,,285,25,133,44
1086,,283,27,100,42
1087,,283,25,100,43
1088,,179,23,102,44
1089,,179,21,102,44
1090,,179,19,102,43
1091,,179,9,204,50
1092,,175,0,210,57
1093,,37,0,349,56
1094,,37,0,381,53
1095,,37,0,381,50
1096,,37,0,381,47
1097,,37,0,352,42
1098,,171,0,247,37
1099,,0,0,418,40
1100,,0,0,418,40
1101,,0,17,418,23
1102,,0,17,418,23
1103,,0,17,418,23
1104,,0,15,418,54
1105,,0,17,418,23
1106,,0,17,418,23
1107,,0,17,418,23
1108,,0,16,418,24
1109,,0,16,418,24
1110,,0,16,418,24
1111,,0,16,418,24
1112,,0,17,418,24
1113,,0,16,418,25
1114,,0,17,418,23
1115,,0,17,418,23
1116,,0,16,418,24
1117,,0,16,418,24
1118,,0,16,418,24
1119,,0,16,418,24
1120,,0,16,418,24
1121,,0,16,418,24
1122,,0,17,418,23
1123,,0,17,418,23
1124,,0,16,418,24
1125,,0,16,418,24
1126,,0,16,418,24
1127,,0,16,418,24
1128,,0,16,418,24
1129,,0,16,418,24
1130,,0,16,418,24
1131,,0,16,418,24
1132,,0,16,418,24
1133,,0,16,418,24
1134,,0,16,418,24
1135,,0,16,418,24
1136,,0,16,418,24
1137,,0,16,418,24
1138,,0,16,418,24
1139,,0,16,418,24
1140,,0,17,418,24
1141,,0,17,418,24
1142,,0,17,418,23
1143,,0,17,418,23
1144,,0,17,418,23
1145,,0,17,418,23
1146,,0,17,418,23
1147,,0,17,418,23
1148,,0,17,418,23
1149,,0,16,418,25
1150,,0,16,418,24
1151,,0,16,418,24
1152,,0,17,418,23
1153,,0,17,418,23
1154,,0,17,418,23
1155,,0,17,418,23
1156,,0,17,418,23
1157,,0,17,418,23
1158,,0,17,418,23
1159,,0,17,418,23
1160,,0,16,418,24
1161,,0,17,418,23
1162,,0,17,418,23
1163,,0,17,418,23
1164,,0,0,418,40
